start:320
end:800
wavelength#coldwhite,red,blue,purple,warmwhite
442#0.014565,0,0.002262,0.000134,0.005035
443#0.015951,0.000001,0.002514,0.000128,0.00566
444#0.017329,0.000011,0.00281,0.000117,0.006279
445#0.019238,0,0.003179,0.000113,0.007107
446#0.020827,0.000005,0.003555,0.000098,0.007934
447#0.022732,0.000004,0.004014,0.000095,0.008917
448#0.024761,0,0.00442,0.000092,0.009971
449#0.026081,0,0.004894,0.000083,0.011073
450#0.028071,0,0.0054,0.000077,0.012085
451#0.028991,0.000003,0.005977,0.000069,0.013109
452#0.030212,0.000003,0.006467,0.000072,0.014053
453#0.030589,0,0.00706,0.000067,0.014799
454#0.03076,0.000004,0.007548,0.000075,0.015227
455#0.029906,0.000001,0.008104,0.000059,0.015345
456#0.029049,0,0.008531,0.000059,0.015208
457#0.027156,0.000001,0.008944,0.000051,0.014745
458#0.025503,0,0.009198,0.000047,0.014213
459#0.023597,0,0.009299,0.000008,0.013424
460#0.02182,0.000002,0.009326,0.000051,0.012728
461#0.019675,0.000002,0.009206,0.000047,0.011833
462#0.018022,0.000003,0.008948,0.000053,0.011122
463#0.016313,0,0.008582,0.000047,0.010384
464#0.015071,0.000001,0.008166,0.000047,0.00983
465#0.014041,0.000002,0.007572,0.000047,0.009266
466#0.012993,0,0.00706,0.000046,0.008934
467#0.012293,0.000002,0.006589,0.000048,0.008579
468#0.011552,0.000004,0.005945,0.000035,0.00835
469#0.010821,0.000005,0.005495,0.000042,0.008013
470#0.010168,0,0.004994,0.00003,0.007684
471#0.009441,0,0.004668,0.000041,0.007502
472#0.008733,0.000001,0.004211,0.000039,0.007191
473#0.008095,0,0.003924,0.000039,0.006913
474#0.007487,0,0.003603,0.000032,0.006547
475#0.006805,0.000004,0.003325,0.000031,0.006182
476#0.006441,0.000002,0.003035,0.000035,0.00592
477#0.005941,0.000001,0.002788,0.000032,0.005666
478#0.005471,0.000003,0.002555,0.000029,0.005439
479#0.005035,0,0.002319,0.00003,0.005217
480#0.004867,0,0.002127,0.000028,0.005078
481#0.004683,0.000001,0.001894,0.000027,0.004948
482#0.004337,0,0.001747,0.000022,0.004906
483#0.004179,0.000002,0.001576,0.000031,0.004851
484#0.004136,0,0.00142,0.000019,0.004861
485#0.003977,0,0.001283,0.000024,0.004831
486#0.003974,0,0.001158,0.000022,0.004958
487#0.003857,0,0.001037,0.000022,0.004999
488#0.003812,0,0.000951,0.000022,0.005007
489#0.003777,0,0.000825,0.000017,0.005044
490#0.003784,0,0.000772,0.000023,0.00515
491#0.00378,0,0.000687,0.00002,0.005229
492#0.003846,0.000001,0.000629,0.000018,0.005288
493#0.003844,0.000004,0.000589,0.000024,0.00539
494#0.003909,0.000002,0.000535,0.000016,0.005508
495#0.004021,0,0.000473,0.000015,0.005584
496#0.004142,0.000004,0.000438,0.00003,0.005723
497#0.004311,0,0.000378,0.000019,0.005812
498#0.004451,0.000002,0.000358,0.000018,0.005993
499#0.004658,0.000002,0.000326,0.000017,0.006085
500#0.004737,0.000001,0.000291,0.000019,0.006281
501#0.005022,0.000005,0.000267,0.000017,0.006432
502#0.0051,0.000002,0.000239,0.000017,0.006541
503#0.005513,0.000001,0.000225,0.000017,0.00671
504#0.005723,0.000004,0.0002,0.000016,0.006875
505#0.00575,0.000003,0.000182,0.000018,0.006973
506#0.005974,0.000001,0.000165,0.000016,0.007143
507#0.006305,0.000001,0.00015,0.000016,0.00725
508#0.006465,0,0.000139,0.000015,0.007438
509#0.006644,0.000004,0.000124,0.000017,0.007489
510#0.006819,0,0.000114,0.000011,0.007577
511#0.007145,0,0.000108,0.000014,0.007763
512#0.007274,0.000001,0.000102,0.000013,0.007835
513#0.007455,0,0.000077,0.000012,0.007938
514#0.007741,0.000003,0.000076,0.000013,0.008061
515#0.007856,0.000002,0.000071,0.000015,0.00814
516#0.008053,0.000004,0.000075,0.000013,0.008184
517#0.008084,0,0.000068,0.000017,0.008298
518#0.008291,0,0.000058,0.000011,0.008359
519#0.008524,0.000004,0.00006,0.000016,0.00847
520#0.008529,0.000001,0.000054,0.000016,0.008511
521#0.008742,0.000004,0.000056,0.000011,0.008567
522#0.00877,0.000002,0.000038,0.000014,0.008711
523#0.00886,0.000001,0.000051,0.000002,0.008745
524#0.00907,0.000001,0.000036,0.000003,0.008742
525#0.009245,0.000001,0.000028,0.000012,0.008838
526#0.009285,0.000003,0.000032,0.000009,0.00897
527#0.009218,0.000007,0.000042,0.000014,0.00903
528#0.009448,0.000021,0.000045,0.000033,0.009087
529#0.009589,0.000005,0.000032,0.000008,0.00911
530#0.00966,0.000003,0.000027,0.000013,0.009192
531#0.009666,0.000007,0.000022,0.000015,0.009219
532#0.009722,0,0.000019,0.000001,0.009292
533#0.009753,0.000002,0.000016,0.000005,0.009343
534#0.009696,0.000001,0.00002,0.000008,0.009406
535#0.009789,0,0.000016,0.000008,0.009436
536#0.009777,0.000005,0.000019,0.000011,0.009548
537#0.009941,0,0.00001,0.000007,0.009559
538#0.00988,0.000008,0.000023,0.000014,0.00965
539#0.009868,0.000002,0.000017,0.000007,0.009661
540#0.009834,0,0.000009,0.000006,0.009726
541#0.009841,0.000005,0.000014,0.000011,0.009778
542#0.009836,0,0.00001,0.000004,0.009833
543#0.009921,0.000001,0.000015,0.000007,0.009894
544#0.009817,0.000006,0.00001,0.000011,0.00997
545#0.009943,0.000001,0.000009,0.000007,0.009999
546#0.009995,0.000007,0.000017,0.000015,0.010123
547#0.010059,0.000004,0.000013,0.000011,0.010161
548#0.009966,0,0.000009,0.000003,0.010174
549#0.009906,0.000003,0.00001,0.000007,0.010339
550#0.009837,0,0.000008,0.000006,0.010368
551#0.009934,0,0.000009,0.000007,0.010497
552#0.009802,0.000005,0.000011,0.000013,0.01052
553#0.009837,0.000002,0.000009,0.000005,0.010606
554#0.009794,0.000001,0.000013,0.000009,0.010662
555#0.00997,0,0.000004,0.000012,0.010737
556#0.009783,0.000006,0.000011,0.000005,0.010811
557#0.009818,0,0.000003,0.000007,0.010843
558#0.009684,0,0.000008,0.000006,0.010968
559#0.009755,0.000004,0.000009,0.000009,0.011081
560#0.009804,0.000011,0.000011,0.000015,0.011126
561#0.009637,0.000001,0.000006,0.000003,0.011218
562#0.009656,0.000007,0.000012,0.00001,0.011313
563#0.009538,0.000005,0.000009,0.000009,0.011321
564#0.009444,0.000002,0.000006,0.000006,0.01146
565#0.009438,0.000008,0.000008,0.000006,0.011592
566#0.009491,0.000002,0.000003,0.000005,0.01163
567#0.009575,0.000007,0.000008,0.000003,0.011694
568#0.009358,0.000007,0.000008,0.000015,0.011826
569#0.009405,0.000007,0.000004,0.000005,0.01186
570#0.009231,0.000007,0.000011,0.000006,0.011944
571#0.009187,0.000011,0.000002,0.000007,0.012002
572#0.009245,0.000011,0.000007,0.000004,0.012067
573#0.009124,0.000017,0.000009,0.00001,0.012188
574#0.009089,0.000013,0.000007,0.000007,0.012223
575#0.009096,0.000017,0.000007,0.000009,0.012281
576#0.008973,0.000019,0.000006,0.000008,0.012364
577#0.008935,0.00002,0.000007,0.000005,0.012435
578#0.008855,0.000026,0.00001,0.000011,0.012531
579#0.008887,0.000021,0.000004,0.000003,0.012546
580#0.008773,0.000028,0.000006,0.000008,0.012742
